n_experimento;feecha_hora;tiempo_procesamiento;modelo;algoritmo;hiperparametros;estandarizacion;resampling;tn;fp;fn;tp;accuracy;balanced_accuracy;precision;recall;f1score;roc_auc_score_train;roc_auc_score_test;otras_metricas;dataset_trainX;dataset_trainY;dataset_testX;dataset_testY;extras_idmodelo
31;02/05/2022 18:56;0 days 00:04:36.444198;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 3, 'min_child_weight': 0.01, 'scale_pos_weight': 99, 'learning_rate': 0.3, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});12175;4433;59;229;0.7341382575757576;0.7641096660244059;0.04912054912054912;0.7951388888888888;0.09252525252525254;0.7641096660244059;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};{'id_modelo': 404475}
31;02/05/2022 19:08;0 days 00:07:15.198816;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 5, 'min_child_weight': 0.01, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});16608;0;288;0;0.9829545454545454;0.5;0.0;0.0;0.0;0.5;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};{'id_modelo': 411881}
31;02/05/2022 19:16;0 days 00:07:13.384157;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 5, 'min_child_weight': 0.01, 'scale_pos_weight': 1, 'learning_rate': 0.3, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});16590;18;271;17;0.9828953598484849;0.528971981374438;0.4857142857142857;0.059027777777777776;0.10526315789473685;0.528971981374438;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};{'id_modelo': 589412}
31;02/05/2022 19:30;0 days 00:07:18.358251;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 5, 'min_child_weight': 0.01, 'scale_pos_weight': 65, 'learning_rate': 0.05, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});13069;3539;68;220;0.7865175189393939;0.775399405908799;0.05852620377760043;0.7638888888888888;0.10872251050160614;0.775399405908799;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};{'id_modelo': 872572}
31;02/05/2022 19:52;0 days 00:07:19.578143;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 5, 'min_child_weight': 0.01, 'scale_pos_weight': 99, 'learning_rate': 0.05, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});11487;5121;45;243;0.6942471590909091;0.7677023121387283;0.04530201342281879;0.84375;0.0859872611464968;0.7677023121387282;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};{'id_modelo': 829157}
31;02/05/2022 20:21;0 days 00:14:05.217022;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 0.01, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});16601;7;276;12;0.9832504734848485;0.520622591522158;0.631578947368421;0.041666666666666664;0.07817589576547232;0.520622591522158;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_nuevenueve_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_nuevenueve_v4_y_test.csv', 'shape': (16896, 1)};{'id_modelo': 509649}
31;02/05/2022 21:57;0 days 00:00:30.155153;sobretiempos;XGB;{'n_estimators': 5, 'max_depth': 5, 'min_child_weight': 0.01, 'scale_pos_weight': 65, 'learning_rate': 0.3, 'n_jobs': 4};Standard;NoneCounter({0: 65898, 1: 1150});12641;3834;88;199;0.7660183748955972;0.7303317771092299;0.04934292090255393;0.6933797909407665;0.09212962962962964;0.7303317771092299;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_x_train.csv', 'shape': (67048, 190)};{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_y_train.csv', 'shape': (67048, 1)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_x_test.csv', 'shape': (16762, 189)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_y_test.csv', 'shape': (16762, 1)};{'id_modelo': 616198}
31;02/05/2022 22:11;0 days 00:04:18.966231;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 3, 'min_child_weight': 0.01, 'scale_pos_weight': 1, 'learning_rate': 0.05, 'n_jobs': 4};Standard;NoneCounter({0: 65898, 1: 1150});16475;0;287;0;0.982877938193533;0.5;0.0;0.0;0.0;0.5;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_x_train.csv', 'shape': (67048, 190)};{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_y_train.csv', 'shape': (67048, 1)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_x_test.csv', 'shape': (16762, 189)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_y_test.csv', 'shape': (16762, 1)};{'id_modelo': 105261}
31;03/05/2022 1:26;0 days 00:13:38.059131;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 0.01, 'scale_pos_weight': 99, 'learning_rate': 0.05, 'n_jobs': 4};Standard;NoneCounter({0: 65898, 1: 1150});14701;1774;142;145;0.8856938312850495;0.6987740901905009;0.07556018759770713;0.5052264808362369;0.13145965548504082;0.698774090190501;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_x_train.csv', 'shape': (67048, 190)};{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_y_train.csv', 'shape': (67048, 1)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_x_test.csv', 'shape': (16762, 189)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_y_test.csv', 'shape': (16762, 1)};{'id_modelo': 705138}
31;03/05/2022 2:36;0 days 00:21:07.145786;sobretiempos;XGB;{'n_estimators': 500, 'max_depth': 3, 'min_child_weight': 0.01, 'scale_pos_weight': 1, 'learning_rate': 0.3, 'n_jobs': 4};Standard;NoneCounter({0: 65898, 1: 1150});16458;17;272;15;0.9827586206896551;0.5256164709490146;0.46875;0.05226480836236934;0.09404388714733541;0.5256164709490146;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_x_train.csv', 'shape': (67048, 190)};{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_y_train.csv', 'shape': (67048, 1)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_x_test.csv', 'shape': (16762, 189)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_y_test.csv', 'shape': (16762, 1)};{'id_modelo': 307379}
31;03/05/2022 6:12;0 days 00:33:51.536171;sobretiempos;XGB;{'n_estimators': 500, 'max_depth': 5, 'min_child_weight': 0.01, 'scale_pos_weight': 1, 'learning_rate': 0.3, 'n_jobs': 4};Standard;NoneCounter({0: 65898, 1: 1150});16456;19;267;20;0.9829375969454719;0.5342665743154289;0.5128205128205128;0.06968641114982578;0.12269938650306747;0.5342665743154289;0.83(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_x_train.csv', 'shape': (67048, 190)};{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_y_train.csv', 'shape': (67048, 1)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_x_test.csv', 'shape': (16762, 189)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_y_test.csv', 'shape': (16762, 1)};{'id_modelo': 492966}
31;03/05/2022 0:45;0 days 00:13:36.895170;sobretiempos;XGB;{'n_estimators': 100, 'max_depth': 10, 'min_child_weight': 0.01, 'scale_pos_weight': 65, 'learning_rate': 0.05, 'n_jobs': 4};Standard;NoneCounter({0: 65898, 1: 1150});15268;1207;163;124;0.9182675098436941;0.6793966150803932;0.09316303531179564;0.43205574912891986;0.15327564894932016;0.6793966150803932;0.83(0.01);;{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_x_train.csv', 'shape': (67048, 190)};{'nombre': 'data/sobretiempos/train/dataframe_sinnulls_v4_y_train.csv', 'shape': (67048, 1)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_x_test.csv', 'shape': (16762, 189)};{'nombre': 'data/sobretiempos/test/dataframe_sinnulls_v4_y_test.csv', 'shape': (16762, 1)};{'id_modelo': 874518}
31;02/05/2022 12:25;0 days 00:00:32.349560;sobretiempos;XGB;{'n_estimators': 5, 'max_depth': 5, 'min_child_weight': 0.01, 'scale_pos_weight': 65, 'learning_rate': 0.3, 'n_jobs': 4};Standard;NoneCounter({0: 66431, 1: 1152});12734;3874;80;208;0.7659801136363636;0.7444805716120745;0.050955414012738856;0.7222222222222222;0.09519450800915333;0.7444805716120745;0.82(0.02);;{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_x_train.csv', 'shape': (67583, 190)};{'nombre': 'data/sobretiempos/train/dataframe_ceros_v4_y_train.csv', 'shape': (67583, 1)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_x_test.csv', 'shape': (16896, 189)};{'nombre': 'data/sobretiempos/test/dataframe_ceros_v4_y_test.csv', 'shape': (16896, 1)};{'id_modelo': 357622}
